Date,Close,High,Low,Open,Volume,Target
2025-02-07,227.3800048828125,233.74300400322835,227.0104008794231,232.3445476829273,39707200,227.64999389648438
2025-02-10,227.64999389648438,230.58999633789062,227.1999969482422,229.57000732421875,33115600,232.6199951171875
2025-02-11,232.6199951171875,235.22999572753906,228.1300048828125,228.1999969482422,53718400,236.8699951171875
2025-02-12,236.8699951171875,236.9600067138672,230.67999267578125,231.1999969482422,45243300,241.52999877929688
2025-02-13,241.52999877929688,242.33999633789062,235.57000732421875,236.91000366210938,53614100,244.60000610351562
2025-02-14,244.60000610351562,245.5500030517578,240.99000549316406,241.25,40896200,244.47000122070312
2025-02-18,244.47000122070312,245.17999267578125,241.83999633789062,244.14999389648438,48822500,244.8699951171875
2025-02-19,244.8699951171875,246.00999450683594,243.16000366210938,244.66000366210938,32204200,245.8300018310547
2025-02-20,245.8300018310547,246.77999877929688,244.2899932861328,244.94000244140625,32316900,245.5500030517578
2025-02-21,245.5500030517578,248.69000244140625,245.22000122070312,245.9499969482422,53197400,247.10000610351562
2025-02-24,247.10000610351562,248.86000061035156,244.4199981689453,244.92999267578125,51326400,247.0399932861328
2025-02-25,247.0399932861328,250.0,244.91000366210938,248.0,48013300,240.36000061035156
2025-02-26,240.36000061035156,244.97999572753906,239.1300048828125,244.3300018310547,44433600,237.3000030517578
2025-02-27,237.3000030517578,242.4600067138672,237.05999755859375,239.41000366210938,41153600,241.83999633789062
2025-02-28,241.83999633789062,242.08999633789062,230.1999969482422,236.9499969482422,56833400,238.02999877929688
2025-03-03,238.02999877929688,244.02999877929688,236.11000061035156,241.7899932861328,47184000,235.92999267578125
2025-03-04,235.92999267578125,240.07000732421875,234.67999267578125,237.7100067138672,53798100,235.74000549316406
2025-03-05,235.74000549316406,236.5500030517578,229.22999572753906,235.4199981689453,47227600,235.3300018310547
2025-03-06,235.3300018310547,237.86000061035156,233.16000366210938,234.44000244140625,45170400,239.07000732421875
2025-03-07,239.07000732421875,241.3699951171875,234.75999450683594,235.11000061035156,46273600,227.47999572753906
2025-03-10,227.47999572753906,236.16000366210938,224.22000122070312,235.5399932861328,72071200,220.83999633789062
2025-03-11,220.83999633789062,225.83999633789062,217.4499969482422,223.80999755859375,76137400,216.97999572753906
2025-03-12,216.97999572753906,221.75,214.91000366210938,220.13999938964844,62547500,209.67999267578125
2025-03-13,209.67999267578125,216.83999633789062,208.4199981689453,215.9499969482422,61368300,213.49000549316406
2025-03-14,213.49000549316406,213.9499969482422,209.5800018310547,211.25,60107600,214.0
2025-03-17,214.0,215.22000122070312,209.97000122070312,213.30999755859375,48073400,212.69000244140625
2025-03-18,212.69000244140625,215.14999389648438,211.49000549316406,214.16000366210938,42432400,215.24000549316406
2025-03-19,215.24000549316406,218.75999450683594,213.75,214.22000122070312,54385400,214.10000610351562
2025-03-20,214.10000610351562,217.49000549316406,212.22000122070312,213.99000549316406,48862900,218.27000427246094
2025-03-21,218.27000427246094,218.83999633789062,211.27999877929688,211.55999755859375,94127800,220.72999572753906
2025-03-24,220.72999572753906,221.47999572753906,218.5800018310547,221.0,44299500,223.75
2025-03-25,223.75,224.10000610351562,220.0800018310547,220.77000427246094,34493600,221.52999877929688
2025-03-26,221.52999877929688,225.02000427246094,220.47000122070312,223.50999450683594,34466100,223.85000610351562
2025-03-27,223.85000610351562,224.99000549316406,220.55999755859375,221.38999938964844,37094800,217.89999389648438
2025-03-28,217.89999389648438,223.80999755859375,217.67999267578125,221.6699981689453,39818600,222.1300048828125
2025-03-31,222.1300048828125,225.6199951171875,216.22999572753906,217.00999450683594,65299300,223.19000244140625
2025-04-01,223.19000244140625,223.67999267578125,218.89999389648438,219.80999755859375,36412700,223.88999938964844
2025-04-02,223.88999938964844,225.19000244140625,221.02000427246094,221.32000732421875,35905900,203.19000244140625
2025-04-03,203.19000244140625,207.49000549316406,201.25,205.5399932861328,103419000,188.3800048828125
2025-04-04,188.3800048828125,199.8800048828125,187.33999633789062,193.88999938964844,125910900,181.4600067138672
